year,region,govt_schools,nongovt_schools,total_schools,enrolment_f1f4,total_teachers,schools_with_electricity,pct_schools_electricity,desktop_computers,laptop_computers,projectors,enrolment_for_dropout,total_dropouts,dropout_rate_regional,pupil_book_ratio,disability_enrolment,csee_div1_pct,infra_imputed_2020,ptr_regional,desktops_per_school,teachers_per_school,nongovt_share,enrolment_per_school,laptops_per_school,csee_pass_rate,csee_fail_rate,csee_candidates,dropout_rate_pct,gross_completion_rate,total_teachers_national,qualified_teachers_national,qualified_teacher_ratio,ptr_national
2020,RUKWA,72,23,95,47679,1743,,62.8865979381443,294.0,186.0,71.0,,4.0,,,0.0,7.19,1,27.35,3.09,18.35,0.2421,501.9,1.96,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,RUKWA,73,24,97,51199,1763,97.0,62.8865979381443,294.0,186.0,71.0,47679.0,6.58151387403259,0.0138,,0.0,6.57,0,29.04,3.03,18.18,0.2474,527.8,1.92,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,RUKWA,73,24,97,55898,1801,97.0,73.1958762886598,316.0,176.0,82.0,51199.0,6.33020176175316,0.0124,,1.0,7.25,0,31.04,3.26,18.57,0.2474,576.3,1.81,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,RUKWA,81,26,107,63514,1822,107.0,76.6355140186916,250.0,159.0,84.0,55898.0,5.477834627356971,0.0098,,4.0,8.05,0,34.86,2.34,17.03,0.243,593.6,1.49,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,RUKWA,86,26,112,66079,1935,112.0,84.8214285714286,437.0,212.0,112.0,63514.0,6.71348049248984,0.0106,,4.0,,0,34.15,3.9,17.28,0.2321,590.0,1.89,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,RUVUMA,150,55,205,79880,3488,,53.5545023696682,701.0,423.0,124.0,,4.0,,,0.0,7.19,1,22.9,3.42,17.01,0.2683,389.7,2.06,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,RUVUMA,157,54,211,84062,3592,211.0,53.5545023696682,701.0,423.0,124.0,79880.0,5.38808212318478,0.0067,,0.0,6.57,0,23.4,3.32,17.02,0.2559,398.4,2.0,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,RUVUMA,159,58,217,86520,3662,217.0,60.36866359447,820.0,351.0,149.0,84062.0,5.41505079584117,0.0064,,0.0,7.25,0,23.63,3.78,16.88,0.2673,398.7,1.62,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,RUVUMA,173,58,231,91063,3777,231.0,61.038961038961,622.0,222.0,142.0,86520.0,5.618354137771613,0.0065,,17.0,8.05,0,24.11,2.69,16.35,0.2511,394.2,0.96,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,RUVUMA,188,56,244,94107,3869,244.0,75.0,835.0,393.0,179.0,91063.0,5.73668778757563,0.0063,,16.0,,0,24.32,3.42,15.86,0.2295,385.7,1.61,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,SHINYANGA,122,29,151,73116,2648,,64.968152866242,503.0,156.0,102.0,,5.0,,,0.0,7.19,1,27.61,3.33,17.54,0.1921,484.2,1.03,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,SHINYANGA,126,31,157,78657,2734,157.0,64.968152866242,503.0,156.0,102.0,73116.0,6.32830023524263,0.0087,,0.0,6.57,0,28.77,3.2,17.41,0.1975,501.0,0.99,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
2022,SHINYANGA,140,32,172,83348,2813,172.0,63.3720930232558,601.0,167.0,127.0,78657.0,7.17545800119506,0.0091,,3.0,7.25,0,29.63,3.49,16.35,0.186,484.6,0.97,87.79,12.21,522217.0,4.88961711903057,38.7341995273676,113205.0,112362.0,0.9925533324499801,24.0
2023,SHINYANGA,154,31,185,94408,2899,185.0,67.027027027027,578.0,145.0,117.0,83348.0,7.227527955079906,0.0087,,8.0,8.05,0,32.57,3.12,15.67,0.1676,510.3,0.78,89.37,10.63,529596.0,4.82765190955621,42.04513154535075,117909.0,117206.0,0.9940377748941981,25.0
2024,SHINYANGA,161,32,193,104389,3062,193.0,70.9844559585492,713.0,219.0,168.0,94408.0,6.34162359122108,0.0067,,5.0,,0,34.09,3.69,15.87,0.1658,540.9,1.13,,,,4.82027585377703,41.3765775246484,128686.0,127904.0,0.9939231928881153,26.0
2020,SIMIYU,145,12,157,67863,2227,,70.3703703703704,313.0,94.0,77.0,,4.0,,,3.0,7.19,1,30.47,1.99,14.18,0.0764,432.2,0.6,85.84,14.16,435654.0,4.59,38.55,106006.0,104881.0,0.9893873931664245,22.5
2021,SIMIYU,150,12,162,71856,2327,162.0,70.3703703703704,313.0,94.0,77.0,67863.0,9.88756759942826,0.0146,,3.0,6.57,0,30.88,1.93,14.36,0.0741,443.6,0.58,87.3,12.7,487730.0,4.5879815937378,39.5048840019058,109335.0,108424.0,0.9916678099419216,23.0
